File Name;Binding Energy;PDBQT Path;;Водородная связь;Солевой мостик;Пи-пи взяимодействие;Т-взаимодействие;Катион-пи вз-е;Галогеновое вз-е
ligand_445_receptor.dpf.dlg;-14,62;*тут были пути;;1;1;1;1;;
ligand_450_receptor.dpf.dlg;-14,12;;;4;1;;2;;
ligand_456_receptor.dpf.dlg;-14,03;;;6;1;1;;1;2
ligand_341_receptor.dpf.dlg;-13,99;;;3;;;;;
ligand_91_receptor.dpf.dlg;-13,80;;;7;;2;;;
ligand_466_receptor.dpf.dlg;-13,47;;;4;;;1;;
ligand_80_receptor.dpf.dlg;-12,94;;;3;1;2;1;;
ligand_57_receptor.dpf.dlg;-12,93;;;4;;;;1;3
ligand_295_receptor.dpf.dlg;-12,74;;;1;1;;1;1;4
ligand_368_receptor.dpf.dlg;-12,62;;;2;;;;;
ligand_81_receptor.dpf.dlg;-12,52;;;;;;;;
ligand_296_receptor.dpf.dlg;-12,40;;;;;;;;
ligand_479_receptor.dpf.dlg;-12,25;;;;;;;;
ligand_235_receptor.dpf.dlg;-12,22;;;;;;;;
ligand_22_receptor.dpf.dlg;-12,09;;;;;;;;
ligand_305_receptor.dpf.dlg;-12,08;;;;;;;;
ligand_230_receptor.dpf.dlg;-12,01;;;;;;;;
ligand_307_receptor.dpf.dlg;-12,00;;;;;;;;
ligand_313_receptor.dpf.dlg;-11,83;;;;;;;;
ligand_480_receptor.dpf.dlg;-11,71;;;;;;;;
ligand_534_receptor.dpf.dlg;-11,65;;;;;;;;
ligand_370_receptor.dpf.dlg;-11,64;;;;;;;;
ligand_327_receptor.dpf.dlg;-11,48;;;;;;;;
ligand_419_receptor.dpf.dlg;-11,37;;;;;;;;
ligand_516_receptor.dpf.dlg;-11,33;;;;;;;;
ligand_432_receptor.dpf.dlg;-11,28;;;;;;;;
ligand_72_receptor.dpf.dlg;-11,25;;;;;;;;
ligand_111_receptor.dpf.dlg;-11,13;;;;;;;;
ligand_402_receptor.dpf.dlg;-11,12;;;;;;;;
ligand_326_receptor.dpf.dlg;-11,09;;;;;;;;
ligand_518_receptor.dpf.dlg;-10,94;;;;;;;;
ligand_121_receptor.dpf.dlg;-10,77;;;;;;;;
ligand_23_receptor.dpf.dlg;-10,77;;;;;;;;
ligand_381_receptor.dpf.dlg;-10,54;;;;;;;;
ligand_404_receptor.dpf.dlg;-10,41;;;;;;;;
ligand_541_receptor.dpf.dlg;-10,33;;;;;;;;
ligand_231_receptor.dpf.dlg;-10,25;;;;;;;;
ligand_164_receptor.dpf.dlg;-10,10;;;;;;;;
ligand_206_receptor.dpf.dlg;-10,09;;;;;;;;
ligand_513_receptor.dpf.dlg;-10,04;;;;;;;;
ligand_337_receptor.dpf.dlg;-9,87;;;;;;;;
ligand_115_receptor.dpf.dlg;-9,83;;;;;;;;
ligand_176_receptor.dpf.dlg;-9,74;;;;;;;;
ligand_287_receptor.dpf.dlg;-9,64;;;;;;;;
ligand_56_receptor.dpf.dlg;-9,63;;;;;;;;
ligand_126_receptor.dpf.dlg;-9,42;;;;;;;;
ligand_282_receptor.dpf.dlg;-9,33;;;;;;;;
ligand_12_receptor.dpf.dlg;-9,05;;;;;;;;
ligand_160_receptor.dpf.dlg;-8,93;;;;;;;;
ligand_104_receptor.dpf.dlg;-8,92;;;;;;;;
ligand_167_receptor.dpf.dlg;-8,85;;;;;;;;
ligand_208_receptor.dpf.dlg;-8,74;;;;;;;;
ligand_190_receptor.dpf.dlg;-8,59;;;;;;;;
ligand_257_receptor.dpf.dlg;-8,50;;;;;;;;
ligand_355_receptor.dpf.dlg;-8,48;;;;;;;;
ligand_95_receptor.dpf.dlg;-8,46;;;;;;;;
ligand_99_receptor.dpf.dlg;-8,41;;;;;;;;
ligand_238_receptor.dpf.dlg;-8,21;;;;;;;;
ligand_163_receptor.dpf.dlg;-8,02;;;;;;;;
ligand_292_receptor.dpf.dlg;-7,36;;;;;;;;
ligand_219_receptor.dpf.dlg;-7,24;;;;;;;;
ligand_21_receptor.dpf.dlg;-6,91;;;;;;;;
ligand_532_receptor.dpf.dlg;-6,87;;;;;;;;
ligand_491_receptor.dpf.dlg;-6,79;;;;;;;;
ligand_150_receptor.dpf.dlg;-6,30;;;;;;;;
ligand_63_receptor.dpf.dlg;-6,26;;;;;;;;
ligand_249_receptor.dpf.dlg;-6,18;;;;;;;;
ligand_510_receptor.dpf.dlg;-6,07;;;;;;;;
ligand_367_receptor.dpf.dlg;-5,81;;;;;;;;
ligand_171_receptor.dpf.dlg;-5,73;;;;;;;;
ligand_272_receptor.dpf.dlg;-5,60;;;;;;;;
ligand_173_receptor.dpf.dlg;-5,32;;;;;;;;
ligand_193_receptor.dpf.dlg;-5,02;;;;;;;;
ligand_10_receptor.dpf.dlg;-4,49;;;;;;;;
ligand_477_receptor.dpf.dlg;-4,48;;;;;;;;
ligand_42_receptor.dpf.dlg;-4,14;;;;;;;;
ligand_250_receptor.dpf.dlg;-4,07;;;;;;;;
ligand_141_receptor.dpf.dlg;-3,78;;;;;;;;
ligand_243_receptor.dpf.dlg;-3,30;;;;;;;;
ligand_356_receptor.dpf.dlg;-2,32;;;;;;;;
ligand_322_receptor.dpf.dlg;-2,20;;;;;;;;
ligand_192_receptor.dpf.dlg;-2,03;;;;;;;;
ligand_373_receptor.dpf.dlg;-1,94;;;;;;;;
ligand_354_receptor.dpf.dlg;-1,29;;;;;;;;
ligand_433_receptor.dpf.dlg;-0,65;;;;;;;;
ligand_85_receptor.dpf.dlg;-0,34;;;;;;;;
ligand_416_receptor.dpf.dlg;-0,23;;;;;;;;
ligand_339_receptor.dpf.dlg;-0,09;;;;;;;;
ligand_465_receptor.dpf.dlg;0,59;;;;;;;;
ligand_207_receptor.dpf.dlg;0,80;;;;;;;;
ligand_372_receptor.dpf.dlg;1,12;;;;;;;;
ligand_105_receptor.dpf.dlg;1,96;;;;;;;;
ligand_156_receptor.dpf.dlg;1,97;;;;;;;;
ligand_109_receptor.dpf.dlg;2,22;;;;;;;;
ligand_210_receptor.dpf.dlg;2,26;;;;;;;;
ligand_284_receptor.dpf.dlg;2,91;;;;;;;;
ligand_79_receptor.dpf.dlg;2,93;;;;;;;;
ligand_261_receptor.dpf.dlg;3,47;;;;;;;;
ligand_139_receptor.dpf.dlg;4,20;;;;;;;;
ligand_489_receptor.dpf.dlg;4,61;;;;;;;;
ligand_403_receptor.dpf.dlg;4,82;;;;;;;;
ligand_358_receptor.dpf.dlg;6,06;;;;;;;;
ligand_391_receptor.dpf.dlg;7,09;;;;;;;;
ligand_427_receptor.dpf.dlg;7,13;;;;;;;;
ligand_224_receptor.dpf.dlg;7,28;;;;;;;;
ligand_185_receptor.dpf.dlg;7,73;;;;;;;;
ligand_291_receptor.dpf.dlg;9,64;;;;;;;;
ligand_533_receptor.dpf.dlg;9,96;;;;;;;;
ligand_118_receptor.dpf.dlg;10,14;;;;;;;;
ligand_265_receptor.dpf.dlg;10,67;;;;;;;;
ligand_112_receptor.dpf.dlg;10,90;;;;;;;;
ligand_266_receptor.dpf.dlg;11,19;;;;;;;;
ligand_203_receptor.dpf.dlg;11,33;;;;;;;;
ligand_362_receptor.dpf.dlg;12,30;;;;;;;;
ligand_161_receptor.dpf.dlg;14,66;;;;;;;;
ligand_180_receptor.dpf.dlg;15,00;;;;;;;;
ligand_62_receptor.dpf.dlg;15,48;;;;;;;;
ligand_299_receptor.dpf.dlg;17,01;;;;;;;;
ligand_420_receptor.dpf.dlg;17,06;;;;;;;;
ligand_137_receptor.dpf.dlg;20,25;;;;;;;;
ligand_136_receptor.dpf.dlg;21,77;;;;;;;;
ligand_529_receptor.dpf.dlg;22,60;;;;;;;;
ligand_472_receptor.dpf.dlg;23,50;;;;;;;;
ligand_451_receptor.dpf.dlg;24,12;;;;;;;;
ligand_201_receptor.dpf.dlg;24,54;;;;;;;;
ligand_66_receptor.dpf.dlg;24,86;;;;;;;;
ligand_484_receptor.dpf.dlg;27,29;;;;;;;;
ligand_407_receptor.dpf.dlg;27,85;;;;;;;;
